is হয়
buy ক্রয়
raise তুলে
bangla বাংলায়
famous খ্যাতিমান
group পরিষদ
municipal মিউনিসিপ্যাল
variable পরিবর্তনশীল
anyone যেকোন
1967 ১৯৬৭
wins জয়
gets পড়লে
semitic সেমিটীয়
value মূল্যে
hilly পার্বত্য
messenger বাণীবাহক
largest শীর্ষ
panjab পাঞ্জাব
thousands হাজারে
unchanged অপরিবর্তিত
produced উদ্ভুত
ask জিজ্ঞেস
figure চেহারা
efficiency দক্ষভাবে
present এখনকার
pichu পিচু
coastline তটরেখা
invented আবিস্কৃত
spirit আত্মার
transform রূপান্তরিত
debut আলোকপাত
internal অভ্যন্তরীন
tendency প্রবণতা
u.s ইউএস
truth সত্য
genetic জেনেটিক
unemployed বেকারত্বের
bingham বিঙাম
learn শিখতে
disordered বিশৃঙ্খল
hazrat হযরত
machinery যন্ত্রপাতির
places অঞ্চলগুলি
urban শহুরে
r ্
kept রেখেছিল
french ফারসী
coefficient স্থানাঙ্ক
cuban কিউবান
ram র‍্যাম
solve সমাধানে
area চত্বর
complexity জটিলতা
neutron নিউট্রন
fine নিখুঁত
characteristic বৈশিষ্ট্যটি
gift দান
burman বর্মনের
appointment সাক্ষাৎকার
influenced প্রভাবান্বিত
wall দেয়াল
uganda উগান্ডা
fire আগুন
fourth ৪র্থ
swedish সুয়েডীয়
creator স্রষ্টা
worshiped পূজিতা
media গণমাধ্যমের
accept গ্রহন
cure সেরে
perpendicular জিওডেসিক
seed বীজ
overcome অতিক্রম
thermodynamics তাপগতিবিদ্যা
pond জলাশয়
electron ইলেকট্রন
composed মিলিত
flyer নভোচারী
football ফুটবল
student ছাত্র
celebration কুচকাওয়াজ
almost প্রায়
achieve সমর্থ
stable স্থিতিশীল
nata ন্যাটো
assembly সম্মিলিত
primarily প্রধানত
lead নেতৃত্বের
dimension দিগন্ত
discussion আলোচনা
marble মার্বেল
advice উপদেশ
narayan নারায়ণ
ago অতীতে
masculine পুং
thinking ভাব
mediterranean ভূমধ্যসাগর
through মাধ্যমেই
gene জিনের
community গোষ্ঠী
carbon কার্বন
allahabad এলাহাবাদ
mountainous পর্বতময়
spain স্পেন
lost হারিয়ে
50 ৫০
shops দোকান
drainage নিষ্কাশন
traffic চলাচলের
geometry জ্যামিতি
18th ১৮শ
compound যৌগ
report প্রতিবেদনে
ass ছাই
georgia জর্জিয়া
episode গর্ব
invest খরচ
atmosphere বায়ুর
wales ওয়েলস
direction পরিচালনার
kazakhstan কাজাখস্তান
appear দেখা
california ক্যালিফোর্নিয়া
algorithm অ্যালগোরিদম
you তুম
ferguson ফার্গুসন
imam ইমাম
developing উন্নয়নশীল
authority কর্তৃপক্ষ
related সম্পৃক্ত
sociology সমাজবিজ্ঞান
greek গ্রিক
mohammad মোঃ
attain পৌছান
comparatively অপেক্ষাকৃত
khulna খুলনা
give দেওয়া
reached পৌঁছেন
earned অর্জিত
hearing শ্রুতি
leaders নেতৃবৃন্দ
employment নিয়োগ
beed বেদ
art শৈলীর
fan ভক্ত
basin অববাহিকায়
thane থানে
certainly অবশ্যই
spread প্রসারিত
boon বর
chris ক্রিস
excited উৎসাহিত
paper পাণ্ডুলিপি
decimal দশমিকের
planned পরিকল্পিত
armadillo আরমাডিলো
behavior আচরণ
twelve বার
himself নিজেও
happens ঘটায়
3rd তৃতীয়
know জানা
rhine রাইন
literate স্বাক্ষর
security নিরাপত্তা
ayub আইয়ুব
activate সক্রিয়
three তিনটি
equal সমতুল্য
deviation চ্যুতি
displacement স্থানান্তর
treaty চুক্তি
news খবর
business বানিজ্য
whom কাদের
political রাজনৈতিক
mammal স্তন্যপায়ীদের
busiest ব্যস্ততম
mercury বুধকে
greece গ্রিসে
solve নিরসনের
domestic গৃহপালিত
neurotransmitter নিউরোট্রান্সমিটার
government শাসকেরা
artificial কৃত্রিম
bond বন্ধন
tony টনি
aged বয়স্ক
astrological জ্যোতির্বৈজ্ঞানিক
attack আক্রমণ
fair মেলা
many অনেকেই
government সরকারে
exhibition প্রদর্শনী
42 ৪২
read পড়েছিলেন
direction দিকে
program কর্মসূচীর
law নীতিকে
now অধুনা
principle আদর্শ
zimbabwe জিম্বাবুয়ে
more বেশী
wear পরা
life জীবন
importance প্রাধান্য
characters বৈশিষ্ট্যে
popularity জনপ্রিয়তার
mir মীর
transform রূপান্তরের
aids এইডস
olympus অলিম্পাস
attack হামলায়
thought ভেবেছিলেন
matt ম্যাট
plain সমতলের
corporation সংস্থা
67 ৬৭
surprise আশ্চর্য
mon মন
are থাকেন
diversity বৈচিত্র্য
parade কুচকাওয়াজ
speak বলে
continuous প্রতিনিয়ত
bach বাখ
molecule অনু
tenth ১০ই
extraordinary অসাধারণ
this এমনটি
ultimate চূড়ান্ত
evolve উন্মেষ
invisible দেহভস্ম
reduces কমে
3000 ৩০০০
loss লস
colour রঙিন
twice দুজন
primary বুনিয়াদী
populous জনাকীর্ণ
protein প্রোটিনের
bosnia বসনীয়
taka টাকার
winds বাতাসের
head মস্তিষ্ক
sex যৌন
constant ধ্রুব
more বেশি
force বল
device ডিভাইস
puberty বয়ঃসন্ধি
information তত
newspaper পত্রিকা
supported আধিকারিক
applied প্রযুক্ত
contribution অবদানের
composer গীতিকার
sexuality যৌনতা
ta ট
such এধরনের
tropical ক্রান্তীয়
captured বন্দী
put রাখে
polish পোলীয়
regularly প্রায়শই
different নানাবিধ
black ব্ল্যাক
interesting মজার
raise ওঠে
economics অর্থবিজ্ঞান
literacy সাক্ষরতা
great বিরাট
office কার্যালয়
must অবশ্যম্ভাবী
reaches দাঁড়ায়
leg লেগ
lion লিওন
deep গাঢ়
league লিগ
dialects উপভাষাগুলি
davis ডেভিস
still তবুও
tribals আদিবাসীরা
queen রানী
province প্রদেশে
capable সমর্থ
the দ্য
agitation আন্দোলনে
express এক্সপ্রেস
nickel নিকেল
rohit রহিত
farsi ফার্সি
proved প্রমাণিত
near কাছেই
gender লিঙ্গের
actor শিল্পী
ar আর
favourable অনুকূল
fashion চল
present আগত
formation বেঁধে
criticized সমালোচিত
connecting সংযোগকারী
under অধিকারে
boat নৌ
animal জীব
elder বড়ো
almost অনেকটাই
china চীনে
most সবথেকে
extent পরিসর
kant কান্ট
wife বিবি
chemist পদার্থবিদ
situation পটভূমিতে
photo ছবি
sight নজর
hogwarts হগওয়ার্টস
queen রানি
magadh মগধ
edward এডওয়ার্ড
latif লতিফ
nearby কাছেই
nahar নাহার
giving দেওয়ার
bungle চুড়ি
diamond হীরক
flu ফ্লু
refraction প্রতিসরণ
hill পর্বতমালার
graduate স্নাতক
running চালিয়ে
chancellor উপাচার্য
mixed মিশে
syllabus পাঠ্যক্রম
nasal নাকি
half অর্ধেক
effective কার্যকরী
statement বিবৃতি
social সমাজবাদী
few কয়েক
pot পাত্র
popular খ্যাতিমান
call সম্বোধন
alexander আলেকজান্ডার
roughly মোটামুটিভাবে
speech বাক
mediaeval মধ্যযুগীয়
inevitable অবশ্যম্ভাবী
given প্রদত্ত
minimally অন্তত
electric ইলেকট্রিক
attack হামলা
craftsman কারিগর
bc খ্রিষ্টপূর্ব
institution প্রতিস্থাপিত
vietnam ভিয়েতনামীয়
wrote লিখে
drama নাটককে
galili গ্যালিলি
urban নগরাঞ্চলীয়
amen আমিন
is বিরাজ
reaction মিথস্ক্রিয়া
clean পরিষ্কার
mythology পুরাণ
process প্রক্রিয়াকে
breakage খাত
maintenance রক্ষণাবেক্ষণ
on অন
exchange বিনিময়ে
master প্রভু
exploitation শোষণ
hally হ্যালি
summer গ্রীষ্মকাল
cool ঠান্ডা
citizenship নাগরিকত্ব
gravitation অভিকর্ষ
kader কাদের
corollary অনুসিদ্ধান্ত
only শুধু
self স্বকীয়
home-rule স্বরাজ
method পদ্ধতিটি
reverend ভগবতী
signed স্বাক্ষরিত
layer লেয়ার
honours স্নাতক
centralize কেন্দ্রীভূত
it এও
planet গ্রহটি
send পাঠান
collect আহরণ
holiday ছুটির
bottom তলায়
elected নির্বাচিত
rights অধিকারে
102 ১০২
distribution বণ্টন
fame পরিচিতি
yemen ইয়েমেনের
lot প্রচুর
famine দুর্ভিক্ষ
how কিভাবে
around চারিদিকে
camp শিবির
gross স্থুল
surrender আত্মসমর্পণ
togetherness একতাবদ্ধ
denice ডেনিস
situation অবস্থানের
coin মুদ্রা
salam সালাম
expensive ব্যয়বহুল
2002 ২০০২
underground ভূগর্ভস্থ
vector ভেক্টর
release মুক্তি
of কা
on রে
bosson বোসন
spending খরচ
popular প্রিয়
show শো
astrology জ্যোতির্বিদ্যার
finding নিদর্শন
heath হিথ
jointly যৌথভাবে
ten দশটি
every সকল
shiv শিব
mark মার্ক
annihilation নিঃশেষ
oppose বিরোধের
being হওয়ায়
move চলার
or অর
mineral খনিজ
cyclone সাইক্লোন
than চেয়েও
212 ২১২
soul আত্মা
native দেশীয়
frederick ফ্রেডেরিক
eligible উপযোগী
response সাড়া
happening হয়েও
portugal পর্তুগিজদের
lighting আলোকীয়
reform সংস্কার
wind বায়ু
other অনান্য
archeologist পুরাতাত্ত্বিক
kin কিন
amphibian উভচর
new নয়া
deta ডাটা
khadi খাদি
cornea কর্নিয়া
studies শিক্ষায়
genetic জিনগত
verses আয়াত
fields ক্ষেত্রেই
corruption দুর্নীতি
form রুপ
home বাসা
getting লাভ
castling ক্যাসলিং
socialism সামাজিকীকরণ
base ভিত্তির
phone ফোনের
ocean সমূদ্র
instance নিদর্শণ
respect মর্যাদা
little অল্প
festival উৎসবের
friction ঘর্ষণ
ignore উপেক্ষা
players খেলোয়াড়দের
others অন্যান্যদের
society জাতিগোষ্ঠীর
painful কষ্টকর
flush ফ্লাশ
extra অতিরিক্ত
married বিবাহিত
bound বাধ্য
cover ঢাকা
substance বস্তু
partially বিকিরণের
tuco ট্যুকো
various বিবিধ
take নেওয়ার
architecture নকশার
declaration ঘোষণাপত্রে
genome জিনোম
lakshman লক্ষ্মণ
bipasha বিপাশা
khan খাঁ
intentionality অভিপ্রায়
columbian কলম্বীয়
punishment শাস্তি
literature কাব্য
bloodshed রক্তক্ষয়ী
practice চর্চা
air হাওয়া
colour রং
meat মাংস
sari সারি
54 ৫৪
ahmed আহমেদ
division বিভাজন
akbar আকবর
1704 ১৭০৪
garments বেশ
suba সুবা
linear রৈখিক
community সম্প্রদায়
das দাশের
purpose উদ্দেশ্য
increase বাড়ানো
dialect উপভাষায়
bsf বিএসসি
father ফাদার
see দর্শনে
couplet শ্লোক
power শক্তির
verb ক্রিয়া
wide বিস্তীর্ণ
10th ১০ই
dance নৃত্যকলার
tale টেল
terminal টার্মিনাল
capability সামর্থ্য
poison বিষ
naming নামকরণ
alternative বিকল্প
subcontinent উপমহাদেশের
cell শেল
medium মাধ্যমেও
revolutionist বিপ্লবী
sporting স্পোর্টিং
picked তুলেছিল
hour ঘণ্টা
saathiya সাথিয়া
example যেমনঃ
crown মুকুটের
amalgamated সংযোজিত
and অর
wealth অর্থ
spermatozoa শুক্রাণু
etc. ইত্যাদি
than চেয়ে
1986 ১৯৮৬
water-lily শাপলা
country দেশকে
kumar কুমার
equiangular সমকোণী
internet ইন্টারনেটে
was ছিলো
beach উপকূলবর্তী
70 ৭০
era অব্দের
flue ফ্লু
27th ২৭শে
book উপনিষদ
long দীর্ঘ
gone গেল
began থাকে
announcing চালাচ্ছে
vagina যোনির
history ইতিহাস
want কামনা
sensor সেন্সর
bounded বদ্ধ
cutie কিউটি
suhrawardi সোহরাওয়ার্দী
came চলে
farce প্রহসন
point বিন্দুর
politically রাজনৈতিকভাবে
rousseau রুসো
attentive মনোযোগী
kabul কাবুল
orbiter অরবিটার
shaktism শাক্তধর্ম
alam আলম
1917 ১৯১৭
x প্রাক্তন
dress পরিধান
ittefaq ইত্তেফাক
monitoring পর্যবেক্ষণটি
different বিভিন্ন
expanded সম্প্রসারিত
characteristics বৈশিষ্ট্য
coming আগামী
stored মজুদ
population জনগোষ্ঠী
production উৎপাদন
question প্রশ্নের
similar হুবহু
season ঋতু
decrease কমতে
dress পোশাক
young ইয়াং
middle মাধ্যম
fine সূক্ষ
petroleum পেট্রোলিয়াম
incident ঘটনা
many কতগুলো
dwarf বামন
value দাম
nearer নিকটবর্তী
oldest প্রাচীনতম
57 ৫৭
hill পর্বতে
before আগেও
religion ধর্মে
research রিসার্চ
on পিঠে
analysis বিশ্লেষণী
champions চ্যাম্পিয়নস
man মানুষ
hacker হ্যাকার
excessive অত্যধিক
previous বিগত
absolute পরম
halls হলের
invest ব্যয়ের
bullet গুলিতে
discuss বিশ্লেষণ
breast স্তন
anything কিছুই
become হওয়া
41 ৪১
panama পানামা
year বছরই
things দ্রব্যাদি
officer আধিকারিক
still এখনো
artificial নকল
dwellers বসবাসকারী
cancelled বাতিল
dutchman ওলন্দাজ
magura মাগুরা
countries দেশগুলি
did পেরেছিল
apple অ্যাপ্‌ল
western পাশ্চাত্যের
intern প্রভাষক
phonetics ধ্বনিতত্ত্ব
innings কর্মজীবনের
united একত্রিত
expenditure ব্যয়
morning সকাল
1965 ১৯৬৫
college কলেজ
sudden তাৎক্ষণিক
melody সুর
socrates সক্রেটিস
welfare কল্যান
stream ধারায়
austere সাধনার
type ধরন
alone একাকী
surplus বাড়তি
sculpture খোদাই
italian ইতালীয়
lean ক্ষীণ
feel অনুধাবন
rabi ববি
azerbaijan আজারবাইজানের
command নির্দেশ
spent খরচ
technology প্রকৌশলে
custom প্রথার
dasgupta দাশগুপ্ত
inform জানানো
multipurpose বহুমুখী
can পারেন
physics পদার্থবিজ্ঞান
mughal মুঘল
replace স্থলে
4th ৪ঠা
perspective পরিপ্রেক্ষিতে
experience অভিজ্ঞতার
non-violent অহিংসা
love প্রেম
graz গ্রাৎস
respected সমাদৃত
temperature উষ্ণতা
indicate নির্দেশ
bonding সংযুক্তি
poetry কবিতা
gujrat গুজরাটি
invention আবিষ্কার
iceland আইসল্যান্ড
border সীমানা
sports খেলাধুলা
86 ৮৬
grey ধূসর
protest বিরোধীতা
follower অনুগামী
circuit বর্তনী
statue ভাস্কর্য
revolve ঘোরে
accepting ধরে
river নদী
chip চিপ
for জন্য
eat ভক্ষণ
card কার্ডের
unclear অস্পষ্ট
multiple একাধিক
action করণ
stadium স্টেডিয়াম
indifferent উদাসীন
$ ডলারে
few অল্প
increased বেড়েছে
table ছক
1809 ১৮০৯
peru পেরু
coup অভ্যুত্থানের
independence স্বাধীনতা
phone ফোন
view রূপটি
central কেন্দ্রীয়
street স্ট্রিটে
moving চলমান
organization সংগঠন
game খেলা
vague বিমূর্ত
momentum ভরবেগের
ulfa আলফা
promise প্রতিশ্রুতি
object বস্তুটি
1944 ১৯৪৪
character চারিত্রিক
may মে
prey শিকার
historic ঐতিহাসিক
did ঘটান
number সংখ্যা
visiting সফরের
application উপযোগ
analysis বিশ্লেষণে
loreto লোরেটো
suppose ধরা
propose প্রস্তাব
20 ২০টি
rna আরএনএ
coastal উপকূলীয়
baku বাকু
producer প্রযোজক
by ধরে
magal মাগল
teachers শিক্ষক
hollywood হলিউডের
chini চিনি
own স্বয়ং
meeting সম্মিলন
best সেরা
is হচ্ছেন
worker কর্মী
rahul রাহুল
constant ধ্রুবক
adjacent পাশেই
landholder জমিদার
breakdown ভাঙ্গন
good ঢাল
sharp সুক্ষ্ম
theory মতের
continent মহাদেশ
age বয়স
hindu হিন্দুধর্মের
fact রহস্য
powerful প্রভাবশালী
inheritance বংশগতির
reaction মিথস্ক্রিয়ার
principal মূল
domestic গবাদি
fulfilment পালনের
story প্রবন্ধটি
design ডিজাইন
speaking বাক
thereafter তারপরও
feature কল্পকাহিনী
martyr শহিদ
like সদৃশ
interested ইচ্ছুক
resurrection পুনরুত্থান
main মুখ্য
core কেন্দ্রভাগ
declare ঘোষণার
person প্রিজম
show দেখানো
planet গ্রহটির
all অল
substance কণা
fulfill সিদ্ধ
attempt প্রয়াস
bulgaria বুলগেরিয়া
selected নির্বাচিত
seat আসনের
never কখনই
meeting সমাবেশে
discount ছাড়
subjective স্বাগতিক
mozilla মোজিলা
commentary টীকা
planet গ্রহণের
plus +
bestowed প্রদত্ত
continue অব্যাহত
2600 ২৬০০
technological প্রাযুক্তিক
different পৃথক
toku ট্যুকোর
western পশ্চিমা
multiple বিভিন্ন
this এও
for খাতিরে
criticised সমালোচিত
request অনুরোধ
christian খ্রিস্টধর্ম
bat ব্যাট
mercury বুধ
neighbor প্রতিবেশী
welfare কল্যাণ
materials পদার্থকে
tum তুম
worshiped পূজিত
12000 ১২০০০
song গানটি
afghan আফগান
blog ব্লগ
cap কেপ
obstruct অবরোধ
doctor ডাক্তার
link যোগসূত্র
lighting বীর্যপাত
republic প্রজাতান্ত্রিক
day দিবস
windows উইন্ডোজ
me আমাকে
therefore অর্থাৎ
cone কোণের
bewildered অভিভূত
counting গণনা
speciality বৈশিষ্ট
electric বৈদ্যুতিক
create আবির্ভাব
helpful সহায়ক
said উল্লেখনীয়
minos মিনস
climate জলবায়ু
huge বৃহদাকার
summer গ্রীষ্ম
attach লাগিয়ে
childhood শৈশবে
eleventh একাদশ
example উদাহরণ
bhagawati ভগবতী
persian পারসিক
seen লক্ষণীয়
excretion নিঃসরণ
pride গর্ব
lato লেটো
greek গ্রিকরা
1880 ১৮৮০
subject বিষয়বস্তু
thinking চিন্তাভাবনা
china চিন
government সরকারকে
similar প্রাসঙ্গিক
33 ৩৩
parabola উপবৃত্তীয়
muggle মাগল
seaport সমুদ্রবন্দর
informed জানানো
1923 ১৯২৩
luv লব
bermuda বারমুডা
submit পেশ
tax রাজস্ব
knowledgeable জ্ঞানী
july জুলাই
process প্রক্রিয়া
angle কোণে
founded আবিষ্কৃত
awakened উদ্বুদ্ধ
percentage শতাংশ
1966 ১৯৬৬
hungarian হাঙ্গেরীয়
alexandria আলেকজান্দ্রিয়ার
ash ছাই
happen ঘটে
except এছাড়া
the যেসব
united ঐক্যবদ্ধ
because কেননা
interest আগ্রহের
49 ৪৯
hardware হার্ডওয়্যার
the দি
sea সাগরের
quiet স্থির
searchlight সার্চলাইট
towards স্বপক্ষে
mouth মুখে
intelligence বুদ্ধিমত্তা
percent শতাংশের
generation প্রজন্মের
rest অবশিষ্ট
gaul গল
reserve মজুদ
forestry বনজ
proceed অগ্রসর
poem কবিতাটি
luck ভাগ্য
period পর্যায়কালের
there সেখানে
well ভালো
calculation গণনা
satyagraha সত্যাগ্রহ
stamp সিলমোহর
remote দূর
enjoy ভোগ
that যা
consonant ব্যঞ্জন
jasmine বেল
physicist পদার্থবিজ্ঞানী
1665 ১৬৬৫
bay উপসাগরে
sixteen ১৬টি
accordingly যথাক্রমে
sultani সুলতানি
country রাষ্ট্রের
defeat হারায়
place স্থাপন
sight দৃষ্টি
studies পড়াশোনা
novels কাব্যগ্রন্থের
thousands সহস্রাব্দের
coffee কফি
acceptability গ্রহণযোগ্যতা
organizing আয়োজনের
opponent প্রতিপক্ষ
defence রক্ষণশীল
jolie জোলিকে
abate খর্ব
alluvium পলি
versus বনাম
by দিচ্ছে
influenced অভিভূত
bandarban বান্দরবান
came এলেন
farmers কৃষকদের
except ছাড়া
economics অর্থনীতিকে
chaplin চ্যাপলিন
die মৃত
bonding বন্ধনে
plato প্লেটো
french ফরাসি
was গেলেও
within মধ্যেই
hoisted উড্ডয়ন
improved পরিমার্জিত
situation অবস্থার
sarada সারদা
posterior পেছনের
exhibition প্রদর্শন
personal ব্যক্তিগত
prose প্রচ্ছদ
guess প্রতীয়মান
invention আবিষ্কারের
someone কেউই
with সঙ্গেও
62 ৬২
pyramid পিরামিড
settled কায়েম
it ইহা
actually মূলত
alloy খাদের
subject বিষয়
british বৃটিশ
internal ঘরোয়া
surroundings পারিপার্শ্বিক
disaster বিপর্যয়
ice বরফের
serviceability কার্যকারিতা
continue চলা
low নিচু
this এই
9th নবম
robot রোবট
wide-ranging সুদূরপ্রসারী
won জিতে
feelings অনুভূতি
prayer আবেদন
home স্বাগতিক
medium মাধ্যমেই
development অগ্রগতি
very একেবারে
publicly সরকারীভাবে
no না৷
agree সম্মত
arithmetic পাটীগণিত
step পা
committee কমিটির
note টীকা
ideally আদর্শগত
obstacle বিঘ্ন
comprising সম্বলিত
nearby কাছাকাছি
council পরিষদে
describe বিবরণী
tradition ঐতিহ্যে
mathematics গণিত
graham গ্রাহাম
stable দীর্ঘস্থায়ী
moral নীতি
instrument যন্ত্রপাতি
cell সেল
marks মার্ক্সীয়
1916 ১৯১৬
proportionate সমানুপাতিক
life লাইফ
lao লাও
stage পর্যায়ে
development প্রবৃদ্ধির
institutions প্রতিষ্ঠানে
fault চ্যুতি
system সিস্টেমে
cored কোরয়েড
border সীমান্তবর্তী
justification বিচারে
colombo কলম্বো
1958 ১৯৫৮
1687 ১৬৮৭
whatever মোটেই
steep খাড়া
copernicus কোপের্নিকুস
attraction আকর্ষণে
spreading প্রসারে
siya শিয়া
borderline সীমারেখা
mahabharat মহাভারতের
strongly জোরদার
festival উৎসব
near সন্নিকটে
nuclear পারমাণবিক
king রাজা
final অন্তিম
political সমাজতন্ত্রের
capable যোগ্য
similar অভিন্ন
mountainous পার্বত্য
such এমনই
lives প্রাণ
beg ভিক্ষা
captured অধিকৃত
surface পৃষ্ঠ
20 ২০
speed বেগে
inconsistently তারতম্য
proved প্রমাণ
flower ফুলের
kill বধ
with সাথেও
year সালেও
husband স্বামীর
considered গণ্য
students শিষ্যদের
promise অঙ্গীকার
named নামাঙ্কিত
avoiding এড়িয়ে
ministers মন্ত্রীপরিষদ
bangabandhu বঙ্গবন্ধু
companion সহায়িকা
footnote পাদটীকা
march মার্চের
expansion বিস্তারে
technical কৌশলগত
states রাষ্ট্রগুলির
discuss আলোচনা
diversity বৈচিত্রের
programme প্রোগ্রাম
obvious স্বতঃসিদ্ধ
blower হাপর
ass শূকর
emerged নির্গত
together একতাবদ্ধ
justice বিচারের
gave দেন
opposite বিপরীত
wearing পরিহিত
intellectual চিন্তাবিদ
rishi ঋষি
singer কন্ঠ
sweet মিষ্টান্ন
surface পৃষ্ঠতল
water পানি
2014 ২০১৪
given দিচ্ছে
infrastructure অবকাঠামোর
human মানুষই
found মেলে
unicode ইউনিকোড
sports স্পোর্টস
greenland গ্রিনল্যান্ড
voight ভট
bc খ্রিপূ
everybody সবাইকে
namaz নামায
dot ডট
establishment সংস্থা
group পর্যায়ের
replaced বাদ
oppressed নিপীড়িত
khmer খামার
diversified বৈচিত্র্যময়
1938 ১৯৩৮
lexicographical আভিধানিক
this এটি
17th ১৭ই
lawrence লরেন্স
lome লোম
art শিল্পকলা
animals পশু
interest আগ্রহী
daily দৈহিক
this এটা
geographic ভৌগলিক
netherlands নেদারল্যান্ডস
division বিভাজিত
to চায়
nepalese নেপালি
connection সংযোগ
said বলেন
splendor মহাসমারোহে
chromosome ক্রোমোজোম
admission ভর্তির
quicksand চোরাবালি
operation চালনা
childhood শৈশবের
time মেয়াদী
daily নিত্য
great মহান
move যাওয়ার
lyricist গীতিকার
ram রামের
resurrection নবজাগরণ
nicola নিকোলা
cell কোষে
rashid রশিদ
initial গোড়ার
quantity মাত্রা
hook হুক
religious ধর্মমত
reading পাঠের
contemporary সাম্প্রতিক
reestablished পুনরুদ্ধার
with অবলম্বনে
form গঠনে
currency মুদ্রা
exchange আদানপ্রদান
here এদিকে
vowel স্বরধ্বনির
instrument যন্ত্রের
socialistic সমাজতান্ত্রিক
slope ঢালু
perpetual চিরস্থায়ী
often প্রায়শই
brahma ত্রিমূর্তি
inspiration চেতনা
rotated আবর্তিত
divide ভাগকে
character চরিত্রের
bbc বিবিসি
trip সফর
knew জানত
others অন্যের
x86 এক্স৮৬
pandavas পাণ্ডব
making নির্মাণের
favourite প্রিয়
thorne মুকুট
around চারপাশে
authenticity প্রামাণ্য
exclusion বাদ
gitanjali গীতাঞ্জলি
start আরম্ভ
collective সম্মিলিত
city নগরীর
comparatively তুলনামূলকভাবে
astronomy জ্যোতির্বিজ্ঞানী
degeneration অপভ্রংশ
astrologer জ্যোতিষ
circuit সার্কিটে
office দফতর
not করেননি
included অধিভুক্ত
besides আশেপাশে
prestigious সম্মানের
pyramide পিরামিডের
kolkata কলকাতা
stored রক্ষিত
chilli চিলির
european ইউরোপিয়ান
geologist বিশ্বতাত্ত্বিক
preserved রক্ষিত
aedes এডিস
helping সহযোগিতায়
crow নাবিক
stuart স্টুয়ার্ট
cortez কোর্টেস
messenger দূত
kapoor কাপুর
dynamic গতিশীল
alchemy আলকেমি
concepts চেতনার
worse অবনতি
museum জাদুঘর
migratory যাযাবর
program আয়োজনে
dedication সমর্পণ
same অনুরূপ
bring আনা
fort কেল্লা
greek গ্রীক
journal পত্রিকা
theorem উপপাদ্য
election ভোট
scientist বৈজ্ঞানিক
subject আলোচ্য
supporter সমর্থকদের
researchers গবেষকরা
with সাথেই
dialog সংলাপ
programme অনুষ্ঠান
umpire আম্পায়ার
1831 ১৮৩১
analytic বিশ্লেষণী
police পোলিশ
over ওভার
korea কোরীয়
hesiod হেসিয়ডের
knows জানে
necessary প্রয়োজনীয়
christ খ্রিস্ট
scale মাত্রার
velocity গতি
information তত্ত্বের
compliant সামঞ্জস্যপূর্ণ
circular কুণ্ডলাকার
swiss সুইস
said সৈয়দ
library লাইব্রেরি
kahn কান
religious ধর্মাবলম্বী
attack হামলার
level পর্যায়
ad খ্রিস্টাব্দ
area আয়তন
fellow ফেলো
meeting অধিবেশনে
arrangement ব্যাবস্থা
siva শিব
mountains পর্বতমালা
reformation সংস্কার
increase বাড়তে
tribe গোষ্ঠী
lose হেরে
create ফেলেন
solution সমাধানের
son সন্তানের
road রাস্তাঘাট
data উপাত্তের
moon মুন
linus লিনুসের
homer হোমার
decade দশকে
primary মুখ্য
civil সিভিল
end প্রান্তে
cut কাটা
democratic প্রজাতান্ত্রিক
counterfeit জাল
swadeshi স্বদেশী
judge বিচারপতি
boy ছেলে
anyone কেউ
page পৃষ্ঠ
matter বস্তু
betray প্রতারণা
playing খেলে
5500 ৫৫০০
oppose প্রতিবাদের
scandinavian স্ক্যান্ডিনেভিয়ার
characteristic বৈশিষ্ট্যসম্পন্ন
that তাকেই
newspaper পত্রিকাটি
clause দফা
life জীবদ্দশায়
machine যন্ত্রপাতির
half অর্ধেকই
iran ইরান
coming আসেন
1972 ১৯৭২
300 ৩০০
25 ২৫
periodical মৌসুমী
conflict দ্বন্দ্ব
hundred শত
protested বিরোধিতা
inner অন্তর্বর্তী
book পুস্তক
colloquial চলতি
optics আলোকবিদ্যা
ancient পৌরাণিক
made তৈরি
design সাজিয়ে
aspect প্রেক্ষিতে
occur অনুষ্ঠিত
supported সমর্থিত
multi-party বহুদলীয়
coach কোচ
8 ৮টি
take নিলেন
diploid ডিপ্লয়েড
daily দৈনিক
relating সম্পর্কে
donor দাতা
season মৌসুম
pole মেরুর
constituency এলাকাকে
brest স্তন
deserving যোগ্য
sky অভ্র
epidemic মহামারী
etc প্রভৃতির
geology ভূতত্ত্ব
poland পোল্যান্ড
kingdom সম্রাজ্যের
movement চলাচল
vertical খাড়া
road রোড
disposal বর্জ্য
christian খ্রিস্ট
exchange বিনিময়
monument স্মারক
first পহেলা
singer গায়ক
book কাব্যে
chaos বিশৃঙ্খলা
dissolved ভেঙ্গে
pole পোলীয়
darwin ডারউইনের
anything যেকোনও
presentation উপস্থাপন
zen জেন
coal কয়লা
roll ক্রমিক
pancreas প্লীহা
famous খ্যাত
y ডিডিটি
grow বৃদ্ধি
made তৈরী
mind মন
immigrant অভিবাসীদের
meter মিটার
give দেয়
example উদাহরন
mohammad মোহাম্মদ
first ফার্স্ট
regions অঞ্চলগুলির
club সমিতির
salt লবণ
tree বৃক্ষের
him তাঁকে
legality বৈধতা
diagnosis নির্ণয়
positive ইতিবাচক
individuals ব্যক্তিরা
god ঈশ্বরকে
taking গ্রহণের
