loss scăderea
local locală
dacian dacic
channels canale
transmitted transmise
taken luată
proves dovezile
findings descoperiri
south polul
interesting interesante
latin latina
saying spunând
great gigant
banks băncii
luminous luminoase
motherland patrie
animals animale
tall înalte
high înalți
patient pacient
versions variante
defeat înfrângerii
surrounded înconjoară
hero erou
changes modificări
reason motiv
freedom libertății
museum muzeul
wish dorințele
biography biografie
duke ducelui
lead conduce
necessity necesitatea
like asemănător
covers acoperă
performance performanțe
athletic sportivă
way mod
percent procentul
active actualei
attractions atracții
translates traduce
nature natură
town localitatea
formula formulă
god zeu
lack lipsă
had avut
description descrierea
found situează
actions acțiunilor
masonry zidurile
meridians meridiane
values valori
equivalent echivalent
institutions instituții
portugal portugheză
liquid lichidă
fourth iva
she ea
translate traducerea
wearing purtând
after dupa
well bună
orthography ortografie
april aripile
prince prințului
constitute constitui
zone zonă
african africane
east orientul
give acorda
ukrainians ucraineni
videos videoclipuri
existing existe
macedonian macedonski
largest mărime
evangelical evanghelică
behavior comportamentul
meeting adunării
artists artiștilor
name arhimede
battle luptă
downfall declin
romance romantismului
restrained restrânse
arabs arabii
permanent permanente
layers straturile
honors honuire
present prezinte
literary literară
stretch întind
anyone oricine
depth adâncime
danube dunăre
elaboration elaborarea
titles titluri
sustaining susținând
occupied ocupau
version variantă
promised promis
quantities cantități
citadels cetăți
name râmnicu
merry maria
plates plăci
area suprafața
throughout durata
low joasă
friendship prietenia
nouns substantive
belong aparține
insects insecte
pollution poluare
collective colective
action fapte
tree arbore
summer verii
truce armistițiu
respect onoare
significant semnificativă
oriented orientată
county județe
this acestui
elections alegerilor
creation crearea
works opere
spirit spiritului
received primite
mentioned menționate
desert deșert
street strada
feel simț
movement mișcările
study lucrare
weapons armament
release eliberarea
partly parțial
debt datoria
founding fondarea
took luată
commission comisiei
all toată
permission acordul
opportunity prilejul
british britanice
and şi
french franceza
clothing îmbrăcăminte
february februarie
ghetto cartier
roads drumurile
primary primară
recent recente
nickname porecla
conquest cuceririle
creates creează
days zilele
flowering înflorire
eventually eventual
paradise rai
reasons motivele
humanity umanității
exceptions excepții
way drumul
inner interioare
appeared apărută
remembered amintit
times ori
gathering gala
whichever niciun
live locuiesc
descent coborârea
place plasează
event eveniment
entrance debut
geometric geometrice
longitude longitudine
daybreak zori
wonder minune
designate desemnat
ring centură
parents părinților
antique antic
monks călugări
lead conducerii
color nuanță
profited beneficiat
support susține
philosophical filosofia
buddhism budismului
grants acorda
legionnaire legionare
plateau podișul
crown coroană
monks călugării
treat tratează
biography biografia
sweep mătură
faith credinței
performance performanța
latin latine
west vest
area bazin
philippines filipine
developed evoluat
all tuturor
drugs droguri
rules regulile
study studiul
partial parțial
arrival venirea
capacity capacitatea
column columna
barometer barometru
ireland irlanda
socialism socialiste
forms forme
rule domnie
technique tehnica
similar asemănător
coal cărbunelui
ours noastră
authorities autorități
cities orașele
university universitate
opinion convingerea
musical muzicale
touristic turiștilor
old vechiul
binding unesc
organizations organisme
gorge cheile
return întoarcerea
argue argumentează
start pornește
results reiese
germany germania
origin originile
count bazează
rares rareș
lead ducă
stirred stârnit
influences influențează
growth înregistrată
other altă
talk discuție
constitution constituirea
about privință
road rutiere
car mașina
seaport portul
organisations organizațiile
agreement acord
individuals indivizi
memories memorii
slovaks slovaci
arrangement deplasarea
long multă
liberty libertății
asked punea
based bazată
ukrainians ucrainene
words cuvinte
give acorde
hard grea
islamic islamică
converted convertit
stories poveștile
phenomenon fenomenele
arabians arabii
meaning semnificație
estimations estimări
incomes veniturile
portion porțiunea
five cinci
range rază
friendship prietenie
direction direcției
personal personale
coming vii
different diferită
that ceea
left părăsit
goes pleacă
underlined subliniat
nice plăcut
respectively respectiv
employees angajați
ordinary normal
lives frunzele
projects proiectele
extreme extrem
office biroul
divisions diviziuni
some câțiva
before primește
became devenind
characters personaje
variety varietate
trams tramvaie
width lățimea
jewish evreiască
distinguished remarcat
wave undă
formation formație
regime regimul
implementation punerea
unitary unitară
expressed exprimată
feelings sentimente
name robespierre
architect arhitectului
temperate temperat
auxiliar auxiliare
touch atins
beside lângă
mechanics mecanica
islam islamul
college colegiul
fossil fosile
these acestea
intermediate intermediare
ship nava
rome romei
done executate
combustible combustibil
because deoarece
supports sprijină
minority minorități
reservoir rezervor
mountain muntoase
involved implicate
shorts scurte
occupation ocupația
fire foc
declared declarată
governor guvernator
election electorală
rank rangul
villages așezările
production producerii
longitude latitudine
governing conducerea
name coandă
standing picioare
remember amintim
distinguished distins
name numea
time timpul
foot piciorul
free eliberat
conferences conferințe
lush verde
rule domnia
railway magistrala
abrupt brusc
reports reportaje
saving salvării
measures măsuri
master maestru
affected afectată
pretended pretins
son fiu
described descrise
construction construirea
parish parohia
compositions compoziții
falls cascada
shock revolta
determine determină
numerous numeroase
throne tronul
separately separat
magnetics magnetice
biblical biblic
carthage cartagina
know cunoască
great deosebită
errors greșeli
producing producând
africans africane
wonder minuni
respond răspunde
thermic termică
ladislaus ladislau
hungarian maghiarilor
hot caldă
monography monografia
sign semn
high autostradă
imposed impuse
orientals orientali
request cerea
especially anume
exclusive exclusiv
may mai
slovak slovace
ministers miniștri
scientists savanți
mentioned precizat
also deasemenea
band trupa
top vârf
bodies organelor
record albume
prince prinț
impulse impuls
figures figuri
letters literele
wage ducă
faith credințe
information informațiilor
ask ceară
disputes disputa
tough dur
artist creator
organization organizarea
others altor
old vechile
inherited moștenit
rare rară
death moartea
romance romanice
engine motor
numerical numeric
truth adevăruri
lift ridice
launched lansată
lands terenurile
sacred sacră
successor urmașul
allowed permitea
emancipated eliberat
bible bibliei
necessary necesare
occasionally ocazional
simple simplă
colonel col
have aibă
compatibility contabilitate
operation operațiunea
adopted adoptate
levels cote
fight luptei
tigers tigri
assert afirmă
data datele
objects discipline
prefer preferă
reign domnie
day zilei
done făcute
change modifică
albanians albanezi
nonmetal nemetal
will voinței
wireless fir
certificate atestat
contained cuprinse
study studierea
name ionesco
confessional confesională
basin depresiunea
amino aminoacizi
try încearcă
executed executat
anyway fine
fix rezolva
penalty pedeapsa
that aceea
width lățime
minority minoritare
individual individului
made efectuat
fool habacuc
migrated migrat
maintaining menținerea
japanese japonez
seemed părea
causes cauze
social socială
archaeological arheologic
happy mulțumită
invaded invadat
attacks atacuri
railway ferată
effects efectelor
people oameni
brasov brașovului
external periferic
administration administrarea
mechanics mecanice
skills abilități
learn învăța
airship aeronave
netherlands olanda
spherical sferică
proper propriuzis
congress congresului
security securitate
aristocrat aristocrației
thinking gândirea
camping câmpina
knowledge cunoaștere
french francezi
poetic poetică
exchanges schimburi
welcome bun
gathered strânse
famous faimos
discovered descoperită
regularly regulat
hills dealuri
understanding înțelegerea
greenhouse seră
see vadă
situations situații
nicholas nae
typical tipice
column coloană
saint sfintei
lords stăpâni
wide largă
study studiului
infantry infanterie
movies filme
gods zeilor
reformed reformată
benefit avantaj
dead moară
brand marcă
railway feroviare
succeed reușește
with având
commission comise
painting picturii
internet internetul
general generalului
brief scurt
track piesa
government guverne
grown cultivate
opened deschis
shows demonstrează
option posibilitate
merchants negustori
mountain masivul
locality localităților
background fundalul
intermediate intermediul
easy ușurință
removed scos
fourth patrulea
identified identificat
crete creta
but dar
book cartea
as atâta
storm furtuni
body corpul
this aceste
that respective
static statică
under aflate
district jud
real reală
name lear
operas operele
ready gata
participation participarea
publication apariției
orientals orientale
horizontal orizontal
proposition propunerea
rulers domnitori
due datorat
found găsește
search căuta
hearts inimii
roman romane
belief credințele
serbian sârbă
stages faze
only decît
piece piesa
electrons electroni
found constata
vicinity apropierea
briefly sumar
win câștigarea
confesses mărturisește
situation situația
constructions construcției
british britanic
sarat sărat
follow urmărit
like asemănătoare
out ies
gives conferă
factor factorul
blue albastru
streets străzi
exposition expoziții
the celor
with împreună
reign domnia
old moș
offer ofere
transform transformă
piston pistonului
walk parcurge
very foarte
first primei
contributed contribuit
everything totul
tales basme
like ca
energy energiei
definitive definitiv
different diferitele
people omului
colleagues colegii
entire întregului
my meu
true adevăratul
force vigoare
rural rurale
joy bucurie
frequently adeseori
immediate imediata
name igor
wide vast
exports exporturile
albanian albanezi
serious grav
computer calculatoare
story întâmplare
prisoners prizonieri
regiment regimul
rise urcă
that faptul
equipped dotat
surroundings împrejurimi
consisting constând
powers puterilor
emirates emiratele
attitudes atitudini
british britanici
luke luca
how cât
daily zilnic
thermodynamics termodinamicii
experiences experiențe
named numiți
stretches întind
margined delimitat
withdrawn retras
earth pământ
french franceze
slowly încet
wounded rănit
fine fin
attempt tentative
time vremii
number serie
coniferous conifere
included inclus
companies societăților
swedish suedezi
date data
northeast nordestul
shore țărmurile
death funerară
accountable contabilitate
decade deceniu
science științei
otherwise altfel
light lumina
greek greaca
seasons anotimpuri
from dintro
steam vapori
enlightenment iluminismul
subject individului
series șir
being constituind
reportage reportaje
searching căutarea
management conducerii
medic medicul
obtained obținut
up urcat
border frontiera
read interpretează
times momente
born naștere
see vezi
this acesta
emerging apărând
jet reacție
composers compozitori
including cuprindea
partnership global
recent ultimii
generation generației
physical fizicii
colour culoarea
colors culorile
companies companiilor
australia australiei
reaching ajungând
neighborhood vecinătatea
proportions proporțiile
than decat
god zeului
wallachia munteniei
stipulating prevedea
minimum minimă
life trai
actress artistă
made creat
enjoyment bucură
of cei
berlin berlinul
actual actuala
home acasă
any oricărei
formed alcătuit
dominate domină
reigned domnit
coming provenită
high ridicate
possible posibile
towards spre
conservators conservatoare
attack atacului
sea marea
accepts acceptă
proportional proporțională
forming formând
other celălalt
impose impune
brothers frați
tip vârf
fingerprint amprenta
noble nobile
maturity maturitate
details detalii
find afla
eight opt
installed instalat
theaters teatre
transport transporturi
publishing publicistică
disease boala
propagation propagare
such atare
functions funcții
made făcuse
etic etică
budget bugetul
colonists coloniști
sends trimite
brought aduse
should trebui
including includerea
came provenea
doctors medici
realizing realizează
senate senat
head vârf
before dinainte
hospital spital
of din
win învinge
influenced influențat
local autohtone
tribes triburi
colonies colonii
harbour portului
cardinal cardinalul
performer interpretată
biology biologie
north-east nordest
reign domniei
triumph triumf
war războiul
directors regii
total totalul
putting putând
adventure aventură
employed angajat
congruent congruente
travel călătorit
positions pozițiile
historians istorici
means semnifică
device dispozitiv
agricultural agricole
permanently permanent
that acelui
run fugă
gallery galerie
prey prada
observations observații
award premiului
christian creștine
name becali
stand stă
tryouts încercări
groups grupări
name poseidon
filmed filmat
complex complexe
fundamentals fundamentală
symbolizes simbolizează
pictures tablourile
writes scrieri
congress congres
both ambii
dies moare
mountainous muntoasă
treatment tratament
hill coline
inhabitants locuitori
carried executat
january ianuarie
informed informat
professor prof
offer oferi
huckleberry afin
moscow moscova
timisoara timișoarei
derived derivate
higher superioare
observed constatat
premier premiera
research cercetărilor
project proiectului
service serviciu
crown moștenitor
power putere
predominant preponderent
meet întâlnite
common întâlnită
parts roluri
complete completă
distance distanțe
violent violentă
share împart
eastern orientală
famous renumiți
speed viteze
club clubului
different diverși
founder întemeietorul
mankind omenirii
stadium stadion
crowd mulțime
flames flăcări
slovakian slovacă
cultivated cultivat
started debutat
long lungă
invented inventat
towards înspre
mountain muntelui
produced produși
essence esența
pages paginile
on pe
a o
awards premii
almost aproximativ
there existau
school școala
can poate
path calea
experience experiență
available valabilă
adventist adventistă
said spunea
different diferă
intense intensă
around jurul
name bach
beside afară
wishes vrea
meet corespunde
watching privesc
fruits fructe
pressure tensiune
low scăzut
trip călătoria
diminished diminuat
keep ține
angle unghiului
adhere aderare
man omul
say spună
ottoman otoman
exact exacte
victims victime
called intitulată
clinique clinic
iliad iliada
memory amintirea
temperature temperaturile
foolish habacuc
had bucurat
museum muzeului
versus vs
whole întregii
old vechi
nordic nordice
noble nobili
accused acuzat
campaigns companiilor
fortress cetăți
bringing aducerea
procedure tratament
tiger tigru
dishes vase
statistics statistici
interpreted interpretată
company firmei
human umană
dutchman german
faith credința
sum sumă
law legii
actual actuale
meadows pajiști
instruments instrumentele
group gruparea
intellectual intelectual
december decembrie
dialect dialecte
concentrated concentrat
role rolul
once odată
finally final
indicates indică
ballad baladă
maxim maximă
rize cresc
orchestra orchestră
atom atomul
treatment tratamentului
water ape
castle castelului
summary sumar
practicing practicarea
offer oferind
formed formate
reaching atingerea
talked vorbea
fire focului
hard greu
practices practicile
displacement deplasarea
numbered numărat
balance echilibrul
mills mori
concentration concentrația
documentary documentare
vital vitală
board placă
photographs fotografii
exit ieșirea
ship navei
alexander alexandru
previous anterior
were erau
rights drepturile
afterglow crepuscul
aircraft avioane
proof dovedesc
possession posesia
confused confundat
me eu
council sfatul
tall înalt
income venituri
meridian meridionali
team echipei
existence existența
contemporary contemporan
diversity diversitatea
doctorate doctoratul
layer stratul
rule regulă
cemetery cimitir
long demult
announced anunțat
pool baltă
small mică
consist consta
ships nave
slobozia sloboziei
seen văzută
object obiectului
forbidden interzis
fortifications fortificațiile
area arie
power puteri
logical logică
lord boierilor
manuscripts manuscrise
earns primește
photo fotografie
refer referă
precedent precedente
territories teritorii
although deși
sons fii
less puțină
optics optică
presentation prezentarea
danish daneză
we am
harbour portul
type tip
religious religios
provisions prevederile
gods zei
showed arătat
cipher cifra
troupe trupa
event evenimentul
accountants contabilitate
italy italiei
bessarabia basarabia
adjacent adiacente
fields terenurile
today astăzi
youth tinerilor
boss șeful
fantastic fantastice
acts acte
introduced prezentat
verbs verbe
aspect aspectul
wich care
same similar
queen regina
sharing transmiterea
wild sălbatice
common comună
preservation conservarea
estimates estimări
prince domnul
knight cavalerilor
my mea
germ bacterie
aluminum aluminiu
addiction dependența
request cererea
yearly anuală
newspaper cotidian
adhesion aderare
determined determinat
song melodiei
it îi
gender sexul
conditions condițiile
valley văii
worlds lumi
building construcție
near preajma
coronation încoronarea
northwest nordvest
extended extinsă
in en
use folosirii
advanced avansat
references referințe
founder fondatori
what ce
original originale
campina câmpina
minerals minerale
or ori
executive executivă
humans oamenii
high ridicat
fame renume
mark amprenta
risc riscul
places locurilor
producer producătorul
own propriile
campaign daciei
navy navale
seeing văzând
sources sursele
enormous enorme
complicated complicate
balance echilibru
exhibitions expoziții
as cât
mammals mamiferele
names denumiri
after postum
begin început
expansion expansiunea
stratum stratul
suitable corespunzătoare
evolution evoluției
georgian georgieni
distinguishes distinge
gathered adunat
oil petrol
expensive scumpe
great marilor
earth globului
fights lupte
players jucătorii
regarding privește
likable plăcut
divine divina
plane avion
received primit
grandmother bunica
greek elene
importance importanță
assure asigură
copper cuprul
ceremony ceremonii
board comisie
ad reclamă
strong puternice
jew evreu
transformed transformate
suspended suspendat
compounds compuși
romanian românească
publication publicarea
supporters susținători
get ajung
under virtutea
associated asociate
show arăta
reach atingă
polish polonezii
occupation ocupație
make fac
quality calitate
thessaloniki salonic
view vedere
speculations speculații
interior interioare
daily zilnice
cinematographic cinematografică
christians creștină
large întinse
bands benzi
hide ascunde
lapidary lapidare
road drumul
approximate aproximativ
britain britanie
tributary afluent
lines liniile
next viitoare
oxygen oxigenului
quoted citat
applications aplicații
global globul
nominated nominalizat
including inclusiv
byzantine bizantine
name thetis
south-west sudvestul
many numeroasele
noted constatat
inaugurated inaugurat
villa vila
concern grijă
village localitate
had avea
medicine medicină
worlds lumii
it îl
coordinates coordonate
profile profil
rooms camerele
turkish otomanii
contact contactului
women femei
game jocului
forbidden interzise
formal formală
brom mătură
entering intrând
affects afectează
statute statului
addressed adresată
constitution constituției
maritime maritim
substances materii
know cunoaște
little puțină
bishop episcopul
countries țări
ideal idealul
duck rată
developed dezvoltate
properly corespunzător
decorated amenajat
part ramura
reached atins
country țării
opened deschisă
immigrant imigranți
founded ființă
threat acuzația
equality egalitate
mill moară
stone piatră
official oficial
emperors împăraților
detained deținută
market pieței
continues durează
poet poeților
ancient străvechi
start izbucnirea
celebration sărbătoare
chronicle cronică
rulers domnii
mayor primar
confirm confirmă
message mesaj
schools școlilor
different diverse
unpublished inedite
editions edițiile
herculean herculane
notice remarca
white albe
airports aeroporturi
gone dusă
ceremony ceremonia
landowners boieri
name poe
one uneia
required obligați
programing programare
presentation prezentare
burnt ardere
present actualul
postmodernism postmodernismul
columns coloane
researchers cercetători
assume asuma
belonged aparținea
temporary temporar
movement deplasarea
individual individ
time timpurilor
research cercetări
circles cercuri
huge imense
just decât
surrounded înconjurată
citadels cetății
mineral molibden
structure schelet
had trebuiau
remind amintesc
paint pictura
snake șarpe
lord voievod
lord domn
debit debitul
teach învăța
observations observațiile
royal domnească
preceded precedat
reservoirs bazine
bacteria bacteriilor
majority majorității
map harta
celestial cerești
order grad
managing reușind
states state
league ligii
age vârstă
resorts stațiuni
three trei
libraries biblioteci
clear net
wear poarte
southwest sudvestul
reservoir bazin
name münchen
darkened întunecate
kids copii
garden grădină
marine marină
gallery galeria
a unui
john ionuț
brasov brașov
spinning învârtitor
heights culmile
post poșta
troops armatele
established consacrat
russians rușii
defend apărat
wrote conceput
groups grupelor
producers producători
others celorlalte
district sectorului
zones zonele
decreases scade
describes descrise
when cand
distance distanța
grows crește
plateau platoul
evaluation evaluarea
strong puternici
sun solare
highlander muntean
beyond dincolo
commandments porunci
moderate moderată
time timpului
britain britanii
collaborated colaborat
oriented orientat
transport transportului
marked însemnată
protein proteine
section tronsonul
realize realizează
asking cerând
crysis criză
verses versurilor
done efectuează
peasants țărani
level nivelul
motive motivul
existence ființă
ends încheie
will arbitru
lands pământuri
determining stabilirea
languages limbilor
figures cifrele
andrew andrei
encyclopaedia enciclopedia
imperial imperiale
site sit
needs nevoile
nobility nobilimea
travel călătoria
out stins
apparition apariție
worn purtat
name maramureș
observed observat
poetry versuri
victims victimele
engines motoarelor
russian ruși
aluminium aluminiu
dispute disputa
genius geniu
acquired căpătat
paintings picturi
lyrics versuri
murder ucide
disk discul
once odinioară
habit obiceiul
warm caldă
decisive decisivă
tracking urmărirea
formed format
retreat retragere
withdraw retragă
consequences consecințe
however totuși
development dezvoltării
czech cehia
age vechime
introduced cunoștință
subjected supusă
as ca
provinces principatelor
further ulterioară
bring adus
operate operă
rules regulilor
carolingian carolingiană
develop dezvolte
muller müller
cults culte
causes provoacă
bacterium bacterie
legend mit
frequent des
station gara
threshold pragul
land ținut
civilians civilă
species speciei
bucharest bucureștii
abc alfabetului
parallel paralele
angle unghi
published tipărit
factors factorilor
caused cauzat
these acelea
live trăiesc
gypsies rromi
denmark danemarcei
guide ghid
provinces provincii
album albumul
beliefs credințele
emotion sentiment
parallels paralele
absolute deplin
legitimize adoptă
parliament parlament
flowers flori
grade clasa
name hong
people locuitorii
buildings clădiri
betrayal trădare
decade deceniul
by de
benefits beneficiază
soil solul
hierarchy ierarhia
scientists cercetători
works funcționează
genres genuri
left rămase
law lege
essay eseuri
mission misiune
religious bisericești
textiles textile
point punct
jesus iisus
history istoricul
see constată
changes schimbă
palaces palate
referee arbitru
legion legiunii
municipality municipiu
love dragostei
church biserica
alcohol alcool
earns câștiga
certain anumitor
switzerland elveția
work munca
necessary neapărat
stay sta
demography demografice
geographical geografică
expresses exprimă
odyssey odiseea
additional suplimentare
reproduces redă
vegetation vegetația
achaeans aheii
spring primăvara
vessels vasele
took luat
melting topirea
accentuated accentuată
ample amplă
want vor
manufactures producător
dramatist dramaturgul
shows spectacole
captain căpitanul
thirds treimi
put puse
destiny destinat
black neagră
food alimente
name alex
destructions distrugeri
serbs sârbă
alphabet alfabetului
gates porți
changes modificările
botanical botanică
inclusive inclusiv
get capătă
streets străzile
english engleze
oak stejar
organs organelor
intervene intervenit
only exclusiv
important însemnat
fishing pescuit
time termenului
more suplimentare
video clipul
painting pictură
considering seamă
spreads propagă
songs cântecele
questions întrebări
era erei
positioning localizare
graphics grafice
meat carne
asians asiatice
species specii
heads îndreaptă
working funcționa
circular circulare
decision decizia
movies filmele
austrian austrieci
works urmează
name mendelssohn
opposite invers
private privată
office cabinet
converted transformate
button tasta
capitals capitale
formed alcătuite
notion noțiunea
upper superioară
classical clasice
lady madonna
protestant protestante
luminary luceafărul
reality realitatea
alexander alexandre
producing producerii
fantasy fantezie
makes face
code codului
not nul
refuse refuză
davies dumitru
intensified intensificat
groups grupurile
city oraș
put pună
acts acționează
against deopotrivă
name goethe
argentine argentina
lan län
14 xiv
acquired dobândit
rize ridica
believed credea
document documentare
between printre
reptiles reptile
superlatives superlative
various diverse
significance semnificație
document documentul
material materială
basin bazinului
students studenți
world lumii
funeral funerare
patron hramul
development elaborarea
head fruntea
terraces terase
still tot
famous strălucitoare
travel călătorie
piece fragment
form alcătuiesc
evangelistic evanghelică
politics politicii
participants participanți
lead plumb
on referitoare
constant constantă
borealis boreală
railroads căilor
exterior exteriorul
confession confesiune
exchange schimbul
gone plecat
subterranean subterane
work lucrării
throne tron
most cea
settlements așezările
september septembrie
doctrine doctrină
poem poeziei
aesthetic estic
institution instituției
quick rapidă
out exteriorul
law drept
nations națiuni
audience sală
name antonescu
vegetation vegetație
constitutional constituțională
bases baze
mission misiuni
six vi
believe crede
essential esențială
forever totdeauna
work opere
seacoast litoral
gross brut
folklore folclorul
commercial comercială
intellectual intelectuală
passenger călători
side părții
raises ridică
crisis criza
frame cadru
legionary legionară
depicts înfățișează
writes scrie
wax ceară
feather până
companies societățile
federal federală
printed tipărit
translated tradus
roughness duritate
analysis analiză
land terestre
name ilfov
principles principii
molybdenum molibden
organized organizează
partner partener
liberty libertatea
cinemas cinematografice
models modelele
votes voturi
poems poezii
images imagini
teeth dinte
statute statut
letter scrisoarea
proven dovedit
established înființat
so deci
city municipiu
final finale
therefore așadar
diseases bolilor
name câmpina
extermination lapidare
help ajută
able măsura
dept adâncimea
acts efective
those acele
masters stăpâni
others altele
friends prietenii
protein proteinelor
all toți
ancestors strămoși
senat senatului
designed concepută
join adera
was existat
nearly cam
availability dispoziție
christianity creștinism
qualified calificat
sibiu sibiului
name anna
act acționeze
friction frecare
regional regionale
slowly treptată
known zis
new noua
growing creșterii
lyrical liric
expression expresie
civil civile
note notat
english engleza
second doilea
development cultivarea
vapor abur
culture culturii
plans planuri
free liberă
full depline
homework temele
same identice
that așa
products produsele
brick cărămidă
path cale
created creat
prahova prahovei
jews evreii
campaigns campanii
share cota
freeway autostradă
evidences dovezi
representation reprezentare
genetic genetice
membership apartenența
anyway oricum
ask cerea
academic academică
austrian austriece
mars marte
work opera
management conducere
around estimat
difference deosebire
brother fratelui
sources izvoarele
hot fierbinte
melody melodiei
announces anunță
representative reprezentative
signifies semnifică
top vârful
transforming transformarea
were făceau
evidence evidență
sciences științele
earlier anterior
components componentele
suppose presupune
tower turnu
hand mâna
health sănătății
pedagogical pedagogică
time datată
hebrew evreu
condition condiția
said menționat
rite rit
entrance intrarea
families familiilor
straight forța
hours ore
have aveau
missions misiuni
electric electrice
maximum maxime
tourism turismul
juridical juridic
part porțiune
things lucrurilor
territory teritoriul
satisfy satisface
standing stătătoare
italy italia
holidays sărbători
taking luând
available disponibil
occidental occidentale
furniture mobilă
aggressive violente
counsel consiliu
lazar lazăr
finland finlandei
name atum
oak stejarul
receive primească
critique critică
devil dracul
practical practic
hemisphere emisfera
spring izvor
stupid prost
name guy
raised crescut
each orice
stretching întinderea
uses folosesc
built așezat
computers calculatoare
mathematics matematice
name iacob
decree decret
approximate aprox
yugoslavia iugoslavia
trends tendințele
mures mureș
action acțiune
name karenina
theater teatrul
economical economici
biography biogeografie
king domnul
them își
festival festivalul
moses moise
restored restaurată
land ținutul
accent accentul
technic tehnica
twilight crepuscul
front fațada
interests interesele
remark observație
headquarters sediu
trip călătorie
throws aruncă
lights luminii
turkey turcia
occurred intervenit
decorated decorat
port portului
species specia
electronic electronice
college facultatea
high înalta
watch ceas
want vrea
minimal minimă
entities entități
serve servi
origin origine
falling cădere
water apa
progressive progresiv
offers oferă
layers straturi
traces urme
they ele
below sub
appeal apel
bad dur
include cuprinzând
was a
gods zeii
each fiecare
sets stabilește
agriculture agriculturii
grave gravă
battle bătălie
goods bunuri
select alege
historical istoric
comedies comedii
victims victimelor
contribution contribuit
reverse invers
longing dor
peak vârful
aimed îndreptat
united uniunii
plant uzina
happened întâmplă
final finala
bridges poduri
individual individuală
gloaming crepuscul
students studenții
forests pădurilor
material materie
stable stabile
live trăi
grain grâu
lived trăiau
educational învățământ
romantic romantică
church penticostală
depend depind
occupy ocupau
understood înțelesul
town localitățile
watch privesc
rivers râurilor
band trupei
newspapers ziare
indo-european indoeuropene
before dinaintea
research studiul
stopped oprit
struggle luptă
wing aripa
final sfârșit
total totalitatea
previous anterioară
respects respectă
cancer cancerului
correspond corespunde
let lasă
condition condiție
different variat
influence influență
love dragostea
center vatra
saint st
diamond diamant
college facultății
former fosta
society societăți
marines marinei
acting acționa
final finalul
fields domenii
with mit
western vestice
castel castelul
equator ecuator
closed închisă
effective efectivă
contribution contribuțiile
performer actor
state statului
ear ureche
charges acuzații
alone singurele
layer avocat
belgium belgia
fund fondul
hardness duritate
between dintre
orthodox ortodoxă
villages satele
big gros
classification clasificarea
controlled controlată
assigns desemnează
guitar chitara
have am
hollands olandei
surely siguranță
architecture arhitectură
right dreptate
mentality gândirea
develop dezvolta
tee ceaiul
negotiations negocierile
settled stabilită
leader conducător
inception crearea
sees vede
end termina
adequate suficientă
settlement așezarea
maximum maxima
health sănătatea
circle cerc
burst izbucnit
just pur
hell infern
american americane
evening seara
appreciate apreciază
ask cerând
powerful puternică
journey expediții
japan japoniei
inclusion includerea
attributes atribuie
touch atingă
cultivate cultivă
financial financiară
characterized caracterizate
coin moneda
easter paștele
period perioadă
economical economice
their lor
humidity umiditate
gases gaze
wishing dorește
conflict conflictului
order ordine
dance dans
singing cântă
setting stabilirea
using utilizării
easter paștelui
domain domeniul
influences influențele
rise ascensiunea
human omenești
moldova moldovei
lost pierdute
disappearance dispariția
divers diverși
prevented împiedicat
programming programare
obtain capătă
slavs slavilor
dacian dac
trip călătorii
wall zid
sustain susțin
city localitatea
popular populară
remanent rest
asiatic asiatice
electromagnetic electromagnetice
let las
remember amintesc
granted acordat
artistic artistică
living trai
general larg
royal regale
night seara
nuclear nucleară
refused refuzat
airport aeroportul
highway autostradă
changes schimbării
famous renumit
inheritor moștenitorul
area zonă
establish stabili
had beneficiat
distinguished remarcă
renaissance renaștere
interbellum interbelic
encyclopedic enciclopedică
stimulation stimularea
name auschwitz
manifests manifestă
economic economici
winning câștigând
elizabeth elisabeta
coup lovitura
platform platforma
northern nordică
stronghold cetate
learn învață
fall toamna
interesting interesant
areas zone
romanian românesc
bulgarian bulgar
total totală
assembly adunarea
consisting formate
lazy leneș
attracts atrage
lost pierde
nations națiunile
zealand zeelandă
army armată
race curse
antoinette antoaneta
name jason
logic logică
chinese chineză
image imaginea
grades clase
champions campionilor
archimedes arhimede
traditions tradiții
method metodă
low redusă
copenhagen copenhaga
preparing pregătirea
baptist botezat
classical clasici
possession obținerea
zones zonelor
assignments prevederile
users utilizatorului
help sprijinul
dates datele
wrote scrise
song piesa
icons icoane
unification sudare
decision decizie
on asupra
designed destinate
audience publicului
czechs cehi
generically generic
grade gradul
characteristics caracteristicile
ports porturile
earthquake cutremurul
existent existente
young tinerilor
marocco maroc
size mărime
groups grupe
equipment echipamentul
considered consideră
awarded decorat
quotes citate
judaism iudaism
policy politică
lead ducea
english englezi
normal normală
guard garda
abandoned abandonat
seas marile
locomotives locomotivele
western occidentale
reading citește
information informațiile
artists artiști
launched apărut
own proprie
investigation cercetare
make facă
size mărimi
glucose glucoza
convince convingă
implicated implicată
remains rămășițele
flights curse
mentioned menționat
proposes propune
transmission transmiterea
news vestea
fought luptat
primary principal
good buna
see văzută
neighbour vecine
heritage moștenire
do facă
action acțiunea
knowledge cunoașterii
slavonian slave
there acolo
almost aproape
help asistență
talking vorbind
composer compozitor
included incluse
coalition coaliție
bucovina bucovinei
made făcute
drug medicament
reorganize reorganizarea
invasion invazia
arm mânecii
france franței
ties legăturile
